videoId,status,statusCode,title,author,groups,spotsCount,spotNames,generatedEmbedUrl,officialWatchUrl
zXR_xhihDOQ,NETWORK_ERROR,500,"","",合同,1,"代々木アニメーション学院 東京校",https://www.youtube.com/embed/zXR_xhihDOQ,https://www.youtube.com/watch?v=zXR_xhihDOQ
8id6i_QeNJM,NETWORK_ERROR,500,"","",=LOVE,10,"角島大橋（山口県） / 赤田海水浴場 / 赤田海水浴場〜ホテル西長門リゾート間の海岸道路 / ホテル西長門リゾート / 旧下関市立角島小学校 / 旧下関市立角島中学校 / 角島灯台公園 / 夢崎波の公園 / 牧崎風の公園へ向かう道 / 土井ヶ浜海水浴場",https://www.youtube.com/embed/8id6i_QeNJM,https://www.youtube.com/watch?v=8id6i_QeNJM
wsKSUGDKRpQ,NETWORK_ERROR,500,"","",≠ME,1,"富津臨海陸上競技場（千葉県）",https://www.youtube.com/embed/wsKSUGDKRpQ,https://www.youtube.com/watch?v=wsKSUGDKRpQ
rDVWtyXTuoU,NETWORK_ERROR,500,"","",≠ME,2,"湘南鎌倉クリスタルホテル / ロックハート城（群馬県）",https://www.youtube.com/embed/rDVWtyXTuoU,https://www.youtube.com/watch?v=rDVWtyXTuoU
DJdpqIGp1XA,NETWORK_ERROR,500,"","",≠ME,2,"江ノ島湘南大堤防（神奈川県藤沢市） / 首都圏外郭放水路（埼玉県）",https://www.youtube.com/embed/DJdpqIGp1XA,https://www.youtube.com/watch?v=DJdpqIGp1XA
bCvjbkE3iMI,NETWORK_ERROR,500,"","",=LOVE,1,"日本武道館",https://www.youtube.com/embed/bCvjbkE3iMI,https://www.youtube.com/watch?v=bCvjbkE3iMI
gkabNNfTjX4,NETWORK_ERROR,500,"","",合同,1,"富士急ハイランド コニファーフォレスト",https://www.youtube.com/embed/gkabNNfTjX4,https://www.youtube.com/watch?v=gkabNNfTjX4
t5r0rNwjXQU,NETWORK_ERROR,500,"","",=LOVE,1,"旧福島県尋常中学校本館（安積歴史博物館）",https://www.youtube.com/embed/t5r0rNwjXQU,https://www.youtube.com/watch?v=t5r0rNwjXQU
ShbfYtAPXuI,NETWORK_ERROR,500,"","",=LOVE,1,"大谷資料館（栃木県宇都宮市）",https://www.youtube.com/embed/ShbfYtAPXuI,https://www.youtube.com/watch?v=ShbfYtAPXuI
Y1Bboo5KXL4,NETWORK_ERROR,500,"","",=LOVE,1,"セブ島（フィリピン）",https://www.youtube.com/embed/Y1Bboo5KXL4,https://www.youtube.com/watch?v=Y1Bboo5KXL4
suf7S4AKdmY,NETWORK_ERROR,500,"","",=LOVE,1,"韓国・ソウル",https://www.youtube.com/embed/suf7S4AKdmY,https://www.youtube.com/watch?v=suf7S4AKdmY
J5eTB_0SEeg,NETWORK_ERROR,500,"","",=LOVE,1,"京王競馬場線 府中競馬正門前駅",https://www.youtube.com/embed/J5eTB_0SEeg,https://www.youtube.com/watch?v=J5eTB_0SEeg
dpSgsHxhWbA,NETWORK_ERROR,500,"","",≠ME,1,"アトリエミカミ 学校スタジオ（茨城県）",https://www.youtube.com/embed/dpSgsHxhWbA,https://www.youtube.com/watch?v=dpSgsHxhWbA
OGb7M9nvBHE,NETWORK_ERROR,500,"","",≠ME,1,"足摺岬（高知県）",https://www.youtube.com/embed/OGb7M9nvBHE,https://www.youtube.com/watch?v=OGb7M9nvBHE
pwT02lNsloU,NETWORK_ERROR,500,"","",≒JOY,1,"越後屋東小川小学校スタジオ（埼玉県）",https://www.youtube.com/embed/pwT02lNsloU,https://www.youtube.com/watch?v=pwT02lNsloU
Q1-yYjZqk7o,NETWORK_ERROR,500,"","",=LOVE,1,"アニヴェルセル大宮（埼玉県）",https://www.youtube.com/embed/Q1-yYjZqk7o,https://www.youtube.com/watch?v=Q1-yYjZqk7o
E-mJ15dJ3Fg,NETWORK_ERROR,500,"","",=LOVE,1,"富士急ハイランド（山梨県）",https://www.youtube.com/embed/E-mJ15dJ3Fg,https://www.youtube.com/watch?v=E-mJ15dJ3Fg
8VBDO8ZQyDo,NETWORK_ERROR,500,"","",=LOVE,2,"所澤神明社（埼玉県所沢市） / 西部スマイルパーク西部競輪場駐車場",https://www.youtube.com/embed/8VBDO8ZQyDo,https://www.youtube.com/watch?v=8VBDO8ZQyDo
Y3aRUM8ebKE,NETWORK_ERROR,500,"","",=LOVE,1,"フェスティバルウォーク蘇我（千葉県）",https://www.youtube.com/embed/Y3aRUM8ebKE,https://www.youtube.com/watch?v=Y3aRUM8ebKE
Y6uOJ_jw6cQ,NETWORK_ERROR,500,"","",≠ME,1,"昭和の森（千葉県千葉市）",https://www.youtube.com/embed/Y6uOJ_jw6cQ,https://www.youtube.com/watch?v=Y6uOJ_jw6cQ
PQb1ZMMV1h0,NETWORK_ERROR,500,"","",≠ME,1,"大慶園（千葉県市川市）",https://www.youtube.com/embed/PQb1ZMMV1h0,https://www.youtube.com/watch?v=PQb1ZMMV1h0
TN--u8kgVM0,NETWORK_ERROR,500,"","",≠ME,1,"流山市立おおぐろの森中学校（千葉県）",https://www.youtube.com/embed/TN--u8kgVM0,https://www.youtube.com/watch?v=TN--u8kgVM0
xOAaBsPaPpY,NETWORK_ERROR,500,"","",=LOVE,2,"小滝沢キャンプ場（茨城県） / うのしまヴィラ海岸（茨城県）",https://www.youtube.com/embed/xOAaBsPaPpY,https://www.youtube.com/watch?v=xOAaBsPaPpY
YCbV-2dCyiM,NETWORK_ERROR,500,"","",≒JOY,1,"関東学院中学校・高等学校（神奈川県）",https://www.youtube.com/embed/YCbV-2dCyiM,https://www.youtube.com/watch?v=YCbV-2dCyiM
2ltZx6FkU4w,NETWORK_ERROR,500,"","",≒JOY,1,"旧三田川中学校（埼玉県小鹿野町）",https://www.youtube.com/embed/2ltZx6FkU4w,https://www.youtube.com/watch?v=2ltZx6FkU4w
qUzXtUsVgH8,NETWORK_ERROR,500,"","",≒JOY,1,"木更津市 木材港の大型倉庫（千葉県）",https://www.youtube.com/embed/qUzXtUsVgH8,https://www.youtube.com/watch?v=qUzXtUsVgH8
2nOHrLolG08,NETWORK_ERROR,500,"","",≒JOY,1,"牛久シャトー (旧シャトーカミヤ)",https://www.youtube.com/embed/2nOHrLolG08,https://www.youtube.com/watch?v=2nOHrLolG08
skgh3juWdFU,NETWORK_ERROR,500,"","",=LOVE,1,"ブリティッシュヒルズ（福島県）",https://www.youtube.com/embed/skgh3juWdFU,https://www.youtube.com/watch?v=skgh3juWdFU
JXchs8DEDWk,NETWORK_ERROR,500,"","",≠ME,1,"イタリア街（東京都港区）",https://www.youtube.com/embed/JXchs8DEDWk,https://www.youtube.com/watch?v=JXchs8DEDWk
w0N0TiOlAY0,NETWORK_ERROR,500,"","",=LOVE,1,"ロングウッドステーション（千葉県）",https://www.youtube.com/embed/w0N0TiOlAY0,https://www.youtube.com/watch?v=w0N0TiOlAY0
YIjPbF-dKQA,NETWORK_ERROR,500,"","",=LOVE,1,"山梨英和大学（山梨県甲府市）",https://www.youtube.com/embed/YIjPbF-dKQA,https://www.youtube.com/watch?v=YIjPbF-dKQA
C8WMX7dEH7Y,NETWORK_ERROR,500,"","",=LOVE,1,"河口湖 音楽と森の美術館（山梨県）",https://www.youtube.com/embed/C8WMX7dEH7Y,https://www.youtube.com/watch?v=C8WMX7dEH7Y
